,player_id,team_id,team_tx,pos_tx,elo,teamID,nameFirst,nameLast,score
215,sanct001,PIT,PIT,C,1436.1620607842053,PIT,Tony,Sanchez,20.360000000000007
216,sancg001,PIT,PIT,1B,1190.2380076754685,PIT,Gaby,Sanchez,123.36
217,presa001,PIT,PIT,OF,1299.8647762613646,MIN,Alex,Presley,40.44
221,pie-f001,PIT,PIT,OF,1463.0722152331539,PIT,Felix,Pie,3.4800000000000004
222,mornj001,PIT,PIT,1B,739.7896336144781,MIN,Justin,Morneau,207.83
226,mercj002,PIT,PIT,2B,1084.2010897128298,PIT,Jordy,Mercer,127.04999999999998
227,mckem001,PIT,PIT,C,1373.048615129687,PIT,Michael,McKenry,37.81
228,mccua001,PIT,PIT,OF,781.158812949463,PIT,Andrew,McCutchen,306.11
229,marts002,PIT,PIT,OF,847.7119811388527,PIT,Starling,Marte,189.84
230,martr004,PIT,PIT,C,901.6297941823291,PIT,Russell,Martin,175.67
231,lamba001,PIT,PIT,OF,1463.9054791212282,PIT,Andrew,Lambo,8.85
232,ingeb001,PIT,PIT,3B,1369.421122887794,PIT,Brandon,Inge,19.93
233,byrdm001,PIT,PIT,OF,831.0816727917587,NYN,Marlon,Byrd,191.41
237,buckj001,PIT,PIT,C,1006.9468945782709,NYN,John,Buck,140.69
241,barmc001,PIT,PIT,SS,1069.481553453748,PIT,Clint,Barmes,81.97
242,alvap001,PIT,PIT,3B,707.6767900578047,PIT,Pedro,Alvarez,236.98
243,younm003,PHI,PHI,SS,852.1532837466187,PHI,Michael,Young,178.57999999999996
247,utlec001,PHI,PHI,2B,921.0104758470135,PHI,Chase,Utley,222.06
248,susds001,PHI,PHI,OF,1490.535171527218,PHI,Steve,Susdorf,1.0
249,ruppc001,PHI,PHI,C,1489.0344692174217,PHI,Cameron,Rupp,5.23
250,ruf-d001,PHI,PHI,1B,1196.228575262895,PHI,Darin,Ruf,105.79
251,rollj001,PHI,PHI,SS,705.2590689217003,PHI,Jimmy,Rollins,206.9
252,reveb001,PHI,PHI,OF,1170.6738108462746,PHI,Ben,Revere,107.5
253,orr-p001,PHI,PHI,SS,1480.956895801059,PHI,Pete,Orr,3.3
254,nix-l001,PHI,PHI,OF,1343.2267572390167,PHI,Laynce,Nix,25.89
255,maybj001,PHI,PHI,OF,1066.1770031140054,PHI,John,Mayberry,122.40999999999998
256,lerus001,PHI,PHI,C,1492.2229592864953,PHI,Steven,Lerud,-0.8
257,howar001,PHI,PHI,1B,1160.3745957953195,PHI,Ryan,Howard,117.88
258,hernc005,PHI,PHI,2B,1377.8196194443926,PHI,Cesar,Hernandez,40.37
259,galvf001,PHI,PHI,SS,1263.8986582484256,PHI,Freddy,Galvis,68.56
260,frank001,PHI,PHI,2B,1201.0746802596939,PHI,Kevin,Frandsen,91.69
261,carre001,PHI,PHI,OF,1483.981427582728,CLE,Ezequiel,Carrera,2.41
265,browd004,PHI,PHI,OF,893.305673215843,PHI,Domonic,Brown,229.12
266,aschc001,PHI,PHI,3B,1308.2671642656992,PHI,Cody,Asche,61.44
267,younc004,OAK,OAK,OF,1056.0390757330024,OAK,Chris,Young,118.55
268,weekj001,OAK,OAK,2B,1491.8837500906182,OAK,Jemile,Weeks,-0.12
269,vogts001,OAK,OAK,C,1309.6850305797855,OAK,Stephen,Vogt,49.5
270,taylm001,OAK,OAK,OF,1468.7769246908044,OAK,Michael,Taylor,1.26
271,sogae001,OAK,OAK,2B,1020.5136128758832,OAK,Eric,Sogard,137.31
272,smits002,OAK,OAK,OF,1017.6219328357482,OAK,Seth,Smith,139.54999999999998
273,sizes001,OAK,OAK,2B,1495.3598121803764,OAK,Scott,Sizemore,0.8
274,reddj001,OAK,OAK,OF,939.7358202834324,OAK,Josh,Reddick,156.92000000000004
275,petes002,OAK,OAK,OF,1491.794518465085,OAK,Shane,Peterson,1.72
276,parra001,OAK,OAK,2B,1461.9305799467118,OAK,Andy,Parrino,3.89
277,norrd001,OAK,OAK,C,1180.5000087914248,OAK,Derek,Norris,110.23
278,mossb001,OAK,OAK,OF,922.2813123402061,OAK,Brandon,Moss,219.02
279,montl002,OAK,OAK,C,1465.9546281046803,OAK,Luke,Montz,9.4
280,lowrj001,OAK,OAK,SS,702.2213419954187,OAK,Jed,Lowrie,261.13
281,jasoj001,OAK,OAK,C,1280.7129125586848,OAK,John,Jaso,91.01
282,greeg002,OAK,OAK,2B,1362.4796212084184,LAA,Grant,Green,47.25
286,frein001,OAK,OAK,1B,1283.594547518312,OAK,Nate,Freiman,76.49
287,donaj001,OAK,OAK,C,749.4702598215093,OAK,Josh,Donaldson,298.74
288,crisc001,OAK,OAK,OF,821.4281827361534,OAK,Coco,Crisp,232.86
289,choim001,OAK,OAK,OF,1486.4719244648045,OAK,Michael,Choice,4.21
290,cespy001,OAK,OAK,OF,758.283092800714,OAK,Yoenis,Cespedes,210.25
291,calla001,OAK,OAK,2B,1011.6539805327726,LAA,Alberto,Callaspo,120.8
295,bartd001,OAK,OAK,1B,1379.6176408342994,OAK,Daric,Barton,46.87000000000001
296,youne003,NYN,NYN,OF,823.0029491604457,NYN,Eric,Young,129.31
300,wrigd002,NYN,NYN,3B,1037.0116556034566,NYN,David,Wright,218.93
301,valdj002,NYN,NYN,2B,1357.0211221405916,NYN,Jordany,Valdespin,41.65
302,turnj001,NYN,NYN,2B,1297.4061160677625,NYN,Justin,Turner,69.6
303,tovaw001,NYN,NYN,SS,1478.2483609994188,NYN,Wilfredo,Tovar,5.35
304,satij001,NYN,NYN,OF,1304.011055094269,NYN,Josh,Satin,76.86999999999998
305,quino001,NYN,NYN,SS,1093.6800983028609,NYN,Omar,Quintanilla,97.61
306,nieuk001,NYN,NYN,OF,1396.3932956124406,NYN,Kirk,Nieuwenhuis,33.65
307,murpd006,NYN,NYN,3B,662.1595815690865,NYN,Daniel,Murphy,261.44
308,lutzz001,NYN,NYN,3B,1487.008325851287,NYN,Zach,Lutz,10.36
309,lagaj001,NYN,NYN,OF,984.3190140826332,NYN,Juan,Lagares,120.25
310,florw001,NYN,NYN,3B,1386.5544311212516,NYN,Wilmer,Flores,29.0
311,dudal001,NYN,NYN,OF,1120.5443440891565,NYN,Lucas,Duda,131.82
312,dendm001,NYN,NYN,OF,1439.060916867024,NYN,Matt,den Dekker,15.74
313,darnt001,NYN,NYN,C,1379.304465057106,NYN,Travis,d'Arnaud,27.59
314,cowgc001,NYN,NYN,OF,1348.7150360127275,LAA,Collin,Cowgill,27.53
318,centj001,NYN,NYN,C,1489.4944284167607,NYN,Juan,Centeno,3.19
319,browa003,NYN,NYN,OF,1334.0287269679857,NYN,Andrew,Brown,57.790000000000006
320,baxtm001,NYN,NYN,OF,1353.7134147774277,NYN,Mike,Baxter,37.58
321,youkk001,NYA,NYA,3B,1377.7679797120918,NYA,Kevin,Youkilis,33.6
322,wellv001,NYA,NYA,OF,950.3647211038221,NYA,Vernon,Wells,148.48000000000005
323,teixm001,NYA,NYA,1B,1425.999424376557,NYA,Mark,Teixeira,22.2
324,stewc001,NYA,NYA,C,1100.1250355848972,NYA,Chris,Stewart,96.65
325,soria001,NYA,NYA,OF,796.594640234369,CHN,Alfonso,Soriano,141.17000000000004
329,romia002,NYA,NYA,C,1326.8726095162435,NYA,Austin,Romine,35.55999999999999
330,rodra001,NYA,NYA,3B,1311.5234693152033,NYA,Alex,Rodriguez,66.3
331,reynm001,NYA,NYA,3B,945.9584723788598,CLE,Mark,Reynolds,126.55
335,nunee002,NYA,NYA,SS,1108.4703508830153,NYA,Eduardo,Nunez,109.34
336,nix-j001,NYA,NYA,2B,1175.3814172402767,NYA,Jayson,Nix,87.33
337,nelsc001,NYA,NYA,SS,1291.2068688675615,LAA,Chris,Nelson,38.7
346,nealt001,NYA,NYA,OF,1481.0368892606512,NYA,Thomas,Neal,2.37
350,murpj001,NYA,NYA,C,1467.4479909723868,NYA,J. R.,Murphy,3.48
351,mesam001,NYA,NYA,P,1487.9851160597498,NYA,Melky,Mesa,5.66
352,lillb001,NYA,NYA,SS,1428.3554840502657,NYA,Brent,Lillibridge,7.239999999999998
356,josec001,NYA,NYA,2B,1494.8142453272415,NYA,Corban,Joseph,1.69
357,jeted001,NYA,NYA,SS,1407.6479779905665,NYA,Derek,Jeter,21.57
358,ishit001,NYA,NYA,1B,1478.2950833860104,BAL,Travis,Ishikawa,1.6
362,hafnt001,NYA,NYA,1B,1164.490304269985,NYA,Travis,Hafner,101.1
363,granc001,NYA,NYA,RF,1230.1869391855903,NYA,Curtis,Granderson,74.17999999999998
364,gardb001,NYA,NYA,OF,811.6285466666219,NYA,Brett,Gardner,213.1
365,franb001,NYA,NYA,OF,1444.3632782489394,NYA,Ben,Francisco,8.22
366,cruzl001,NYA,NYA,2B,1274.2039088912666,LAN,Luis,Cruz,20.630000000000006
370,cervf001,NYA,NYA,C,1452.6625274903488,NYA,Francisco,Cervelli,27.02
371,canor001,NYA,NYA,2B,758.8996736757482,NYA,Robinson,Cano,323.92
372,brigr001,NYA,NYA,SS,1398.9942490065455,COL,Reid,Brignac,16.79
376,boesb001,NYA,NYA,OF,1450.2296236271275,NYA,Brennan,Boesch,22.51
377,almoz001,NYA,NYA,OF,1384.1186518637169,NYA,Zoilo,Almonte,31.75
378,adamd001,NYA,NYA,2B,1332.5341397747893,NYA,David,Adams,37.13
379,willj004,MIN,MIN,OF,1019.2186762471789,MIN,Josh,Willingham,159.5
380,thomc002,MIN,MIN,OF,1122.2842032954418,MIN,Clete,Thomas,75.57
381,ramiw001,MIN,MIN,OF,1416.2269376748309,MIN,Wilkin,Ramirez,24.74
382,plout001,MIN,MIN,SS,902.0234126401303,MIN,Trevor,Plouffe,174.45000000000005
383,pintj001,MIN,MIN,C,1433.6295674039081,MIN,Josmil,Pinto,38.34
384,parmc001,MIN,MIN,1B,1144.0962436703091,MIN,Chris,Parmelee,98.73
385,mauej001,MIN,MIN,C,1023.6579338137713,MIN,Joe,Mauer,209.34
386,mastd002,MIN,MIN,OF,1414.4492522383412,MIN,Darin,Mastroianni,13.52
